ID;StationStart;Line;TimeStart;StationEnd;TimeEnd;global_id;
Локальный идентификатор;Станция отправления;Направление Аэроэкспресс;Время отправления со станции;Конечная станция направления Аэроэкспресс;Время прибытия на конечную станцию направления Аэроэкспресс;global_id;
189;Аэропорт Домодедово;В Домодедово;08:00;Верхние Котлы;08:39;2449495061;
340;Белорусский вокзал;В Шереметьево;08:06;Аэропорт Шереметьево;09:18;2449492661;
115;Верхние Котлы;В Домодедово;08:08;Аэропорт Домодедово;08:48;2449492199;
21;Аминьевская;Во Внуково;08:10;Аэропорт Внуково;08:33;2449494957;
416;Савёловская;В Шереметьево;08:12;Аэропорт Шереметьево;09:18;2449495257;
39;Аэропорт Внуково;Во Внуково;08:15;Киевский вокзал;08:48;2449494975;
57;Аэропорт Внуково;Во Внуково;08:15;Аминьевская;08:36;2449494993;
265;Аэропорт Шереметьево;В Шереметьево;08:25;Окружная;09:16;2449495152;
303;Аэропорт Шереметьево;В Шереметьево;08:25;Белорусский вокзал;09:37;2449495198;
227;Аэропорт Шереметьево;В Шереметьево;08:25;Савёловская;09:31;2449500121;
378;Окружная;В Шереметьево;08:27;Аэропорт Шереметьево;09:18;2449492737;
79;Павелецкий вокзал;В Домодедово;08:30;Аэропорт Домодедово;09:18;2449492144;
153;Аэропорт Домодедово;В Домодедово;08:30;Павелецкий вокзал;09:16;2449495019;
190;Аэропорт Домодедово;В Домодедово;08:30;Верхние Котлы;09:09;2449495062;
341;Белорусский вокзал;В Шереметьево;08:36;Аэропорт Шереметьево;09:48;2449492664;
116;Верхние Котлы;В Домодедово;08:39;Аэропорт Домодедово;09:18;2449492201;
417;Савёловская;В Шереметьево;08:42;Аэропорт Шереметьево;09:48;2449495258;
296;Аэропорт Шереметьево;В Шереметьево;08:49;Белорусский вокзал;09:40;2449495189;
266;Аэропорт Шереметьево;В Шереметьево;08:55;Окружная;09:46;2449495153;
304;Аэропорт Шереметьево;В Шереметьево;08:55;Белорусский вокзал;10:07;2449495199;
228;Аэропорт Шереметьево;В Шереметьево;08:55;Савёловская;10:01;2449500229;
379;Окружная;В Шереметьево;08:57;Аэропорт Шереметьево;09:48;2449492740;
4;Киевский вокзал;Во Внуково;09:00;Аэропорт Внуково;09:33;2449491975;
80;Павелецкий вокзал;В Домодедово;09:00;Аэропорт Домодедово;09:48;2449492146;
154;Аэропорт Домодедово;В Домодедово;09:00;Павелецкий вокзал;09:47;2449495020;
191;Аэропорт Домодедово;В Домодедово;09:00;Верхние Котлы;09:40;2449495063;
342;Белорусский вокзал;В Шереметьево;09:06;Аэропорт Шереметьево;10:18;2449492665;
117;Верхние Котлы;В Домодедово;09:08;Аэропорт Домодедово;09:48;2449492212;
22;Аминьевская;Во Внуково;09:10;Аэропорт Внуково;09:33;2449494958;
418;Савёловская;В Шереметьево;09:12;Аэропорт Шереметьево;10:18;2449495259;
40;Аэропорт Внуково;Во Внуково;09:15;Киевский вокзал;09:48;2449494976;
58;Аэропорт Внуково;Во Внуково;09:15;Аминьевская;09:36;2449494994;
267;Аэропорт Шереметьево;В Шереметьево;09:25;Окружная;10:16;2449495154;
305;Аэропорт Шереметьево;В Шереметьево;09:25;Белорусский вокзал;10:37;2449495200;
229;Аэропорт Шереметьево;В Шереметьево;09:25;Савёловская;10:31;2449500282;
380;Окружная;В Шереметьево;09:27;Аэропорт Шереметьево;10:18;2449492742;
81;Павелецкий вокзал;В Домодедово;09:30;Аэропорт Домодедово;10:18;2449492117;
155;Аэропорт Домодедово;В Домодедово;09:30;Павелецкий вокзал;10:16;2449495021;
192;Аэропорт Домодедово;В Домодедово;09:30;Верхние Котлы;10:09;2449495064;
343;Белорусский вокзал;В Шереметьево;09:36;Аэропорт Шереметьево;10:48;2449492667;
118;Верхние Котлы;В Домодедово;09:38;Аэропорт Домодедово;10:18;2449492214;
419;Савёловская;В Шереметьево;09:42;Аэропорт Шереметьево;10:48;2449495260;
268;Аэропорт Шереметьево;В Шереметьево;09:55;Окружная;10:46;2449495155;
306;Аэропорт Шереметьево;В Шереметьево;09:55;Белорусский вокзал;11:07;2449495202;
230;Аэропорт Шереметьево;В Шереметьево;09:55;Савёловская;11:01;2449500386;
381;Окружная;В Шереметьево;09:57;Аэропорт Шереметьево;10:48;2449492744;
5;Киевский вокзал;Во Внуково;10:00;Аэропорт Внуково;10:33;2449491976;
82;Павелецкий вокзал;В Домодедово;10:00;Аэропорт Домодедово;10:48;2449492119;
156;Аэропорт Домодедово;В Домодедово;10:00;Павелецкий вокзал;10:48;2449495022;
193;Аэропорт Домодедово;В Домодедово;10:00;Верхние Котлы;10:41;2449495065;
344;Белорусский вокзал;В Шереметьево;10:06;Аэропорт Шереметьево;11:18;2449492669;
119;Верхние Котлы;В Домодедово;10:08;Аэропорт Домодедово;10:48;2449492216;
23;Аминьевская;Во Внуково;10:10;Аэропорт Внуково;10:33;2449494959;
420;Савёловская;В Шереметьево;10:12;Аэропорт Шереметьево;11:18;2449495261;
41;Аэропорт Внуково;Во Внуково;10:15;Киевский вокзал;10:48;2449494977;
59;Аэропорт Внуково;Во Внуково;10:15;Аминьевская;10:36;2449494995;
